,AWC_cm.per.cm.,Sand_Percent,Silt_Percent,Clay_Percent,Moist.BD_g.per.cm3.,OM_Percent
140,0.17,64,27,9,1.38,6
142,0.11,87,7,6,1.53,1.5
143,0.08,86,7,7,1.4,0.8
144,0.11,80,17,4,1.8,1.3
145,0.08,86,7,7,1.4,0.8
146,0.11,79,17,4,1.45,2
147,0.11,79,17,4,1.45,2
148,0.1,78,16,6,1.45,1.5
149,0.11,63,27,10,1.51,2
150,0.17,70,22,8,1.4,6
151,0.08,93,3,4,1.54,0.8
152,0.08,93,3,4,1.54,0.8
153,0.08,93,3,4,1.58,0.8
154,0.08,94,3,3,1.59,0.8
155,0.08,94,3,3,1.59,0.8
156,0.08,93,3,4,1.58,0.8
157,0.11,87,7,6,1.5,1.5
158,0.08,93,3,4,1.54,0.8
159,0.11,87,6,7,1.2,1.3
160,0.08,94,2,4,1.54,0.8
161,0.1,95,1,4,1.65,1.8
162,0.08,94,3,3,1.59,0.8
163,0.11,87,6,7,1.2,1.3
164,0.08,96,1,3,1.5,0.8
165,0.11,79,17,4,1.45,2
166,0.08,94,3,3,1.59,0.8
167,0.08,96,1,3,1.55,6
168,0.08,93,3,4,1.55,2
169,0.17,64,27,10,1.4,2
170,0.17,64,27,10,1.4,2
171,0.14,70,22,9,1.4,2
172,0.19,39,38,23,1.23,3
173,0.16,65,20,15,1.33,2
174,0.16,65,20,15,1.33,2
175,0.14,66,20,14,1.33,2
176,0.09,92,2,6,1.64,0.8
177,0.08,94,3,3,1.59,0.8
178,0.11,87,8,5,1.45,2.3
179,0.16,67,20,14,1.4,1.5
180,0.11,87,7,7,1.5,0.8
181,0.11,87,7,7,1.5,0.8
182,0.11,87,7,7,1.45,0.8
183,0.08,92,1,7,1.5,0.8
184,0.11,87,7,7,1.45,0.8
185,0.21,45,43,12,1.5,3
186,0.1,87,7,6,1.6,2
188,0.08,94,3,3,1.58,0.8
189,0.2,39,36,25,0.9,12
190,0.11,85,9,6,1.58,1.5
191,0.11,85,9,6,1.58,1.5
192,0.1,95,1,4,1.65,1.8
193,0.08,94,3,3,1.5,0.8
